"Usia : ","Gen","Domisili :","Jenis kelamin :","Pendapatan perbulan :","Status pernikahan :","Pekerjaan :","1. Super App Perbankan mana saja yang Kamu gunakan :","3. Seberapa 2 Kamu menggunakan Super App Perbankan tersebut ?","5. Fitur apa saja 2 Kamu gunakan dari Super App Perbankan tersebut ?","6. Permasalahan apa saja yang 2 Kamu alami saat menggunakan Super App Perbankan ?"
"31","1","Tangerang","Female","5000000-10000000","1","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"37","1","Depok","Female","10000000-20000000","1","Karyawan Swasta","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"40","1","Jakarta","Female","10000000-20000000","1","Other","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"30","1","Jambi","Male","<5000000","0","Karyawan Swasta","BCA Mobile","2","Transfer Uang","Jaringan yang sulit untuk provider tertentu"
"25","2","Jakarta","Female","5000000-10000000","1","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Eror saat bertransaksi"
"32","1","Jakarta","Female","10000000-20000000","1","Karyawan Swasta","Livin Mandiri","1","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Terlalu banyaknya proses pada satu aktivitas transaksi"
"39","1","Jakarta","Female","5000000-10000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Eror saat bertransaksi"
"38","1","Bogor","Female","5000000-10000000","0","Karyawan Swasta","Allo bank","2","Transfer Uang, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Banyaknya fitur yang tidak digunakan"
"29","1","Jakarta","Male","5000000-10000000","1","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Banyaknya fitur yang tidak digunakan"
"27","1","Tangerang ","Female","5000000-10000000","1","Ibu Rumah Tangga","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Terlalu banyaknya proses pada satu aktivitas transaksi"
"39","1","Jakarta","Female","5000000-10000000","1","Karyawan Swasta","Octo Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Other"
"45","0","Depok","Female","10000000-20000000","1","Karyawan Swasta","Permata Bank","2","Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet","Eror saat bertransaksi"
"45","0","Tangerang Selatan ","Female","10000000-20000000","1","Other","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Eror saat bertransaksi"
"25","2","Tangerang Selatan ","Female","5000000-10000000","1","Ibu Rumah Tangga","BCA Mobile","1","Top Up Ewallet","Eror saat bertransaksi"
"32","1","Jakarta","Female","5000000-10000000","0","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening","Jaringan yang sulit untuk provider tertentu"
"33","1","Pekanbaru","Female","10000000-20000000","1","Ibu Rumah Tangga","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
