Usia : ;Gen;Domisili :;Jenis kelamin :;Pendapatan perbulan :;Status pernikahan :;Pekerjaan :;1. Super App Perbankan mana saja yang Kamu gunakan :;3. Seberapa sering Kamu menggunakan Super App Perbankan tersebut ?;5. Fitur apa saja sering Kamu gunakan dari Super App Perbankan tersebut ?;6. Permasalahan apa saja yang sering Kamu alami saat menggunakan Super App Perbankan ?
36;1;Banyuwangi;1;Rp5.000.000 - Rp10.000.000;1;Wirausahawan;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
34;1;Bekasi;1;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;Wokee;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet;Terlalu banyaknya proses pada satu aktivitas transaksi
30;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;0;Karyawan Swasta;Livin Mandiri;Selalu;Pembayaran menggunakan QR;Eror saat bertransaksi
31;1;Kota Tangerang;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
37;1;Depok;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
40;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;1;Other;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
30;1;Jambi;0;Kurang dari Rp5.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang;Jaringan yang sulit untuk provider tertentu
25;2;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
32;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;Livin Mandiri;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Terlalu banyaknya proses pada satu aktivitas transaksi
39;1;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
38;1;Bogor;1;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;Allo bank;Sering;Transfer Uang, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
29;1;JAKARTA;0;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
27;1;Tangerang ;1;Rp5.000.000 - Rp10.000.000;1;Ibu Rumah Tangga;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Terlalu banyaknya proses pada satu aktivitas transaksi
39;1;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;Octo Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Other
45;0;Depok;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;Permata Bank;Sering;Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet;Eror saat bertransaksi
45;0;Tangerang Selatan ;1;Rp10.000.000 - Rp20.000.000;1;Other;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
25;2;Tangerang Selatan ;1;Rp5.000.000 - Rp10.000.000;1;Ibu Rumah Tangga;BCA Mobile;Kadang-kadang;Top Up Ewallet;Eror saat bertransaksi
32;1;JAKARTA;1;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening;Jaringan yang sulit untuk provider tertentu
33;1;Pekanbaru;1;Rp10.000.000 - Rp20.000.000;1;Ibu Rumah Tangga;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
32;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;1;Wirausahawan;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
33;1;Tangerang Selatan ;1;Rp10.000.000 - Rp20.000.000;1;Ibu Rumah Tangga;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Jaringan yang sulit untuk provider tertentu
33;1;JAKARTA;1;Rp10.000.000 - Rp20.000.000;0;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
20;2;JAKARTA;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening;Banyaknya fitur yang tidak digunakan
20;2;JAKARTA;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BCA Mobile;Kadang-kadang;Cek Saldo dan Mutasi Rekening;Jaringan yang sulit untuk provider tertentu
21;2;BANDUNG;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Jenius;Kadang-kadang;Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
20;2;Tangerang;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Kadang-kadang;Transfer Uang;Eror saat bertransaksi
19;2;Kota tangerang;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BCA Mobile;Sering;Transfer Uang;Eror saat bertransaksi
21;2;JAKARTA;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Jarang;Pembayaran atau Pembelian;Terlalu banyaknya proses pada satu aktivitas transaksi
22;2;Tangerang;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Terlalu banyaknya proses pada satu aktivitas transaksi
22;2;Depok;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Livin Mandiri;Sering;Top Up Ewallet;Banyaknya fitur yang tidak digunakan
20;2;Sukabumi ;0;Rp5.000.000 - Rp10.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
22;2;Bogor;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BCA Mobile;Kadang-kadang;Top Up Ewallet;Jaringan yang sulit untuk provider tertentu
20;2;Depok;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
55;0;BANDUNG;0;Kurang dari Rp5.000.000;1;Other;BCA Mobile;Sering;Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Jaringan yang sulit untuk provider tertentu
20;2;JAKARTA;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Jaringan yang sulit untuk provider tertentu
40;1;Cirebon;1;Kurang dari Rp5.000.000;1;Ibu Rumah Tangga;Octo Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
19;2;JAKARTA;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Livin Mandiri;Jarang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian;Other
22;2;Tangerang Selatan ;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Other
20;2;BANDUNG;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian;Jaringan yang sulit untuk provider tertentu
21;2;Bekasi;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Livin Mandiri;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening;Jaringan yang sulit untuk provider tertentu
22;2;Tangerang Selatan ;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BriMo;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian;Terlalu banyaknya proses pada satu aktivitas transaksi
20;2;JAKARTA;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Banyaknya fitur yang tidak digunakan
19;2;Tangerang ;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Livin Mandiri;Jarang;Cek Saldo dan Mutasi Rekening;Eror saat bertransaksi
19;2;Bekasi;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BSI Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Eror saat bertransaksi
45;0;JAKARTA;1;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
44;0;Tangerang Selatan ;1;Rp20.000.000 - Rp35.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
55;0;BANDUNG;1;Rp5.000.000 - Rp10.000.000;0;Tenaga Pendidik;BNI Mobile Banking;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
28;1;Bekasi;1;Kurang dari Rp5.000.000;0;Other;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Other
43;0;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Tenaga Pendidik;BCA Mobile;Sering;Transfer Uang, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Eror saat bertransaksi
32;1;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;Livin Mandiri;Sering;Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
33;1;tangerang;1;Kurang dari Rp5.000.000;1;Ibu Rumah Tangga;Octo Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
33;1;Depok;1;Rp5.000.000 - Rp10.000.000;1;Ibu Rumah Tangga;Muamalat DIN;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
42;1;Tangerang Selatan ;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BNI Mobile Banking;Sering;Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet;Eror saat bertransaksi
40;1;JAKARTA;1;Rp20.000.000 - Rp35.000.000;0;Other;Octo Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
43;0;Tangerang Selatan ;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
32;1;Bogor;1;Kurang dari Rp5.000.000;1;Ibu Rumah Tangga;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Eror saat bertransaksi
